data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,43979824,142969626,1,2021-09-28,1,N,13B,29,26,F,20,40,R,,,26,
2021,43979825,142969626,2,2021-09-28,1,N,13B,35,32,M,20,20,U,,,32,
2021,43979805,142969445,1,2021-09-28,1,N,23F,42,39,M,20,20,R,,,39,
2021,44398705,144486924,1,2021-10-01,3,N,100,47,44,M,40,40,U,,,44,
2021,43979768,142969148,1,2021-09-28,1,N,13C,36,33,M,20,20,N,,,33,
2021,44989870,146707738,1,2021-09-28,1,N,13B,42,39,F,20,20,R,,,39,
2021,43979845,142969827,1,2021-09-28,1,N,13B,32,29,M,20,20,N,,,29,
2021,43979808,142969482,1,2021-09-28,3,N,26D,39,36,F,20,40,R,,,36,
2021,43979790,142969335,1,2021-09-28,1,N,13B,46,43,F,20,40,R,,,43,
2021,43979756,142969071,1,2021-09-28,1,N,23H,28,25,M,20,20,R,,,25,
2021,44989898,146707906,1,2021-12-06,3,N,09A,60,57,M,20,20,R,,,57,
2021,43979791,142969348,1,2021-09-28,1,N,23H,62,59,M,20,20,R,,,59,
2021,44398641,144486186,1,2021-09-28,1,N,13B,34,31,M,20,20,N,,,31,
2021,43979772,142969185,1,2021-09-28,1,N,23H,57,54,M,20,40,U,,,54,
2021,44398673,144486589,1,2021-09-29,1,N,120,18,15,M,20,20,U,R,,15,
2021,44398674,144486589,2,2021-09-29,1,N,120,18,15,M,20,20,R,R,,15,
2021,43979815,142969542,1,2021-09-28,1,N,13B,34,31,M,20,20,R,,,31,
2021,44989872,146707739,1,2021-09-28,1,N,520,45,42,M,20,40,R,,,42,
2021,45742355,149542609,1,2021-09-28,1,N,290,37,34,F,20,20,U,,,34,
2021,44398690,144486777,1,2021-09-28,1,N,13B,35,32,M,20,40,U,,,32,
2021,43979783,142969285,1,2021-09-28,1,N,520,37,34,M,20,20,U,,,34,
2021,43979782,142969281,1,2021-09-28,1,N,13A,30,27,F,20,40,R,,,27,
2021,44989826,146707430,1,2021-12-16,3,N,23H,51,48,M,20,20,U,,,48,
2021,43979801,142969411,1,2021-09-28,1,N,13B,35,32,F,20,20,U,,,32,
2021,43979796,142969385,1,2021-09-28,1,N,23H,39,36,M,20,40,R,,,36,
